IZ22CD,IZ22NM,IZ22NM,CA,CAName
S02003225,"Roystonhill, Blochairn, and Provanmill","Roystonhill, Blochairn, and Provanmill",S12000049,Glasgow City
S02003151,Drumoyne and Shieldhall,Drumoyne and Shieldhall,S12000049,Glasgow City
S02003255,Hillhead,Hillhead,S12000049,Glasgow City
S02003231,City Centre East,City Centre East,S12000049,Glasgow City
S02002528,West End South,West End South,S12000033,Aberdeen City
S02002764,Stockbridge,Stockbridge,S12000036,City of Edinburgh
S02003272,Anniesland West,Anniesland West,S12000049,Glasgow City
S02003213,"Cranhill, Lightburn and Queenslie South","Cranhill, Lightburn and Queenslie South",S12000049,Glasgow City
S02003808,Balloch,Balloch,S12000039,West Dunbartonshire
S02003600,Paisley North East,Paisley North East,S12000038,Renfrewshire
S02002541,George Street,George Street,S12000033,Aberdeen City
S02002689,Stenhouse and Saughton Mains,Stenhouse and Saughton Mains,S12000036,City of Edinburgh
S02003650,Selkirk,Selkirk,S12000026,Scottish Borders
S02003595,Paisley South East,Paisley South East,S12000038,Renfrewshire
S02002618,Peterhead Harbour,Peterhead Harbour,S12000034,Aberdeenshire
S02002548,Hilton,Hilton,S12000033,Aberdeen City
S02002526,Rosemount,Rosemount,S12000033,Aberdeen City
S02003240,Firhill,Firhill,S12000049,Glasgow City
S02002782,Clermiston and Drumbrae,Clermiston and Drumbrae,S12000036,City of Edinburgh
S02002753,Hillside and Calton Hill,Hillside and Calton Hill,S12000036,City of Edinburgh
S02003347,Greenock West and Central,Greenock West and Central,S12000018,Inverclyde
S02003838,Bathgate Central,Bathgate Central,S12000040,West Lothian
S02002854,Stobswell,Stobswell,S12000042,Dundee City
S02003798,Dalmuir,Dalmuir,S12000039,West Dunbartonshire
S02002642,Montrose South,Montrose South,S12000041,Angus
S02003185,Gorbals and Hutchesontown,Gorbals and Hutchesontown,S12000049,Glasgow City
S02003273,Blairdardie East,Blairdardie East,S12000049,Glasgow City
S02003489,Dundyvan,Dundyvan,S12000050,North Lanarkshire
S02002878,Ardler and St Marys,Ardler and St Marys,S12000042,Dundee City
S02003254,Kelvingrove and University,Kelvingrove and University,S12000049,Glasgow City
S02002967,"Dunterlie, East Arthurlie and Dovecothall","Dunterlie, East Arthurlie and Dovecothall",S12000011,East Renfrewshire
S02003164,Strathbungo,Strathbungo,S12000049,Glasgow City
S02002849,Logie and Blackness,Logie and Blackness,S12000042,Dundee City
S02003458,Wishaw North,Wishaw North,S12000050,North Lanarkshire
S02003258,Partickhill and Hyndland,Partickhill and Hyndland,S12000049,Glasgow City
S02003833,Armadale North ,Armadale North ,S12000040,West Lothian
S02003244,Possil Park,Possil Park,S12000049,Glasgow City
S02002747,North Leith and Newhaven,North Leith and Newhaven,S12000036,City of Edinburgh
S02002825,Lochside and Lincluden,Lochside and Lincluden,S12000006,Dumfries and Galloway
S02003552,Viewlands and Craigie,Viewlands and Craigie,S12000048,Perth and Kinross
S02002653,Kirriemuir,Kirriemuir,S12000041,Angus
S02003602,Paisley Gallowhill and Hillington,Paisley Gallowhill and Hillington,S12000038,Renfrewshire
S02002728,"Canongate, St. Leonards and Dumbiedykes","Canongate, St. Leonards and Dumbiedykes",S12000036,City of Edinburgh
S02003589,Paisley West,Paisley West,S12000038,Renfrewshire
S02003830,"Whitburn Whitdale, East Whitburn and Longridge","Whitburn Whitdale, East Whitburn and Longridge",S12000040,West Lothian
S02002860,Broughty Ferry West,Broughty Ferry West,S12000042,Dundee City
S02002873,Law,Law,S12000042,Dundee City
S02002724,Tollcross,Tollcross,S12000036,City of Edinburgh
S02003350,Greenock Town Centre and East Central,Greenock Town Centre and East Central,S12000018,Inverclyde
S02003256,Glasgow Harbour and Partick South,Glasgow Harbour and Partick South,S12000049,Glasgow City
S02003737,"Burgh, Eastfield and Silverbank","Burgh, Eastfield and Silverbank",S12000029,South Lanarkshire
S02003669,Ayr South Harbour and Town Centre,Ayr South Harbour and Town Centre,S12000028,South Ayrshire
S02003804,Dalreoch,Dalreoch,S12000039,West Dunbartonshire
S02002731,Willowbrae and Duddingston Village,Willowbrae and Duddingston Village,S12000036,City of Edinburgh
S02003327,Sutherland South,Sutherland South,S12000017,Highland
S02003181,Cathcart,Cathcart,S12000049,Glasgow City
S02003252,Kelvindale,Kelvindale,S12000049,Glasgow City
S02003793,Drumry,Drumry,S12000039,West Dunbartonshire
S02003776,Broomridge,Broomridge,S12000030,Stirling
S02002847,Westend,Westend,S12000042,Dundee City
S02003281,Fort William South,Fort William South,S12000017,Highland
S02002669,Cowal South,Cowal South,S12000035,Argyll and Bute
S02003108,Buckhaven Denbeath and Muiredge,Buckhaven Denbeath and Muiredge,S12000047,Fife
S02002712,"Blackford, West Mains and Mayfield Road","Blackford, West Mains and Mayfield Road",S12000036,City of Edinburgh
S02003590,Paisley Foxbar,Paisley Foxbar,S12000038,Renfrewshire
S02003505,Thrashbush,Thrashbush,S12000050,North Lanarkshire
S02003161,Govanhill West,Govanhill West,S12000049,Glasgow City
S02003353,"Port Glasgow Upper, West and Central","Port Glasgow Upper, West and Central",S12000018,Inverclyde
S02002865,Whitfield,Whitfield,S12000042,Dundee City
S02003366,Bonnyrigg North,Bonnyrigg North,S12000019,Midlothian
S02003679,"Annbank, Mossblown and Tarbolton ","Annbank, Mossblown and Tarbolton ",S12000028,South Ayrshire
S02002877,Lochee,Lochee,S12000042,Dundee City
S02002853,Clepington,Clepington,S12000042,Dundee City
S02003506,Airdrie North,Airdrie North,S12000050,North Lanarkshire
S02002692,Gorgie West,Gorgie West,S12000036,City of Edinburgh
S02002813,Machars South,Machars South,S12000006,Dumfries and Galloway
S02003839,Bathgate North West,Bathgate North West,S12000040,West Lothian
S02002585,Inverurie South,Inverurie South,S12000034,Aberdeenshire
S02002656,Oban South,Oban South,S12000035,Argyll and Bute
S02002771,Blackhall,Blackhall,S12000036,City of Edinburgh
S02003560,Central and South Inch,Central and South Inch,S12000048,Perth and Kinross
S02003606,Renfrew South East,Renfrew South East,S12000038,Renfrewshire
S02002720,Bruntsfield,Bruntsfield,S12000036,City of Edinburgh
S02002705,"Gracemount, Southhouse and Burdiehouse","Gracemount, Southhouse and Burdiehouse",S12000036,City of Edinburgh
S02002750,South Leith,South Leith,S12000036,City of Edinburgh
S02003488,Kirkshaws,Kirkshaws,S12000050,North Lanarkshire
S02002638,Arbroath Harbour,Arbroath Harbour,S12000041,Angus
S02002896,Earlston and Hurlford Rural,Earlston and Hurlford Rural,S12000008,East Ayrshire
S02003487,Kirkwood and Bargeddie,Kirkwood and Bargeddie,S12000050,North Lanarkshire
S02002691,Slateford and Chesser,Slateford and Chesser,S12000036,City of Edinburgh
S02003461,Newmains,Newmains,S12000050,North Lanarkshire
S02002537,Torry West,Torry West,S12000033,Aberdeen City
S02002531,Ferryhill North,Ferryhill North,S12000033,Aberdeen City
S02002814,Newton Stewart,Newton Stewart,S12000006,Dumfries and Galloway
S02003820,Livingston Craigshill ,Livingston Craigshill ,S12000040,West Lothian
S02003145,Pollok North and East,Pollok North and East,S12000049,Glasgow City
S02002851,Docks and Wellgate,Docks and Wellgate,S12000042,Dundee City
S02003677,Prestwick East,Prestwick East,S12000028,South Ayrshire
S02003607,Renfrew East,Renfrew East,S12000038,Renfrewshire
S02003152,Govan and Linthouse,Govan and Linthouse,S12000049,Glasgow City
S02003412,Arran,Arran,S12000021,North Ayrshire
S02003209,Shettleston North,Shettleston North,S12000049,Glasgow City
S02003653,Lerwick North,Lerwick North,S12000027,Shetland Islands
S02003619,Tweeddale West,Tweeddale West,S12000026,Scottish Borders
S02003163,Battlefield,Battlefield,S12000049,Glasgow City
S02003323,Alness,Alness,S12000017,Highland
S02003658,Carrick South,Carrick South,S12000028,South Ayrshire
S02002553,Northfield,Northfield,S12000033,Aberdeen City
S02003477,Forgewood,Forgewood,S12000050,North Lanarkshire
S02003504,Coatdyke and Whinhall,Coatdyke and Whinhall,S12000050,North Lanarkshire
S02003686,"Biggar, Symington, Thankerton and Dolphinton","Biggar, Symington, Thankerton and Dolphinton",S12000029,South Lanarkshire
S02002727,"Old Town, Princes Street and Leith Street","Old Town, Princes Street and Leith Street",S12000036,City of Edinburgh
S02003292,Inverness Westhill,Inverness Westhill,S12000017,Highland
S02003841,Linlithgow South and Bathgate Hills,Linlithgow South and Bathgate Hills,S12000040,West Lothian
S02003264,Scotstoun South and West,Scotstoun South and West,S12000049,Glasgow City
S02003733,Westburn,Westburn,S12000029,South Lanarkshire
S02002694,Shandon,Shandon,S12000036,City of Edinburgh
S02002715,The Grange,The Grange,S12000036,City of Edinburgh
S02003443,Largs Central and Cumbrae,Largs Central and Cumbrae,S12000021,North Ayrshire
S02002551,Sheddocksley,Sheddocksley,S12000033,Aberdeen City
S02003566,Coupar Angus and Meigle,Coupar Angus and Meigle,S12000048,Perth and Kinross
S02002584,Inverurie North,Inverurie North,S12000034,Aberdeenshire
S02003612,Erskine West,Erskine West,S12000038,Renfrewshire
S02002942,Musselburgh North,Musselburgh North,S12000010,East Lothian
S02002670,Hunter's Quay,Hunter's Quay,S12000035,Argyll and Bute
S02002848,Perth Road,Perth Road,S12000042,Dundee City
S02003116,Kennoway and Bonnybank,Kennoway and Bonnybank,S12000047,Fife
S02003599,Paisley Central West,Paisley Central West,S12000038,Renfrewshire
S02002549,Stockethill,Stockethill,S12000033,Aberdeen City
S02003796,Faifley,Faifley,S12000039,West Dunbartonshire
S02002678,Balerno,Balerno,S12000036,City of Edinburgh
S02003178,Castlemilk,Castlemilk,S12000049,Glasgow City
S02002633,Carnoustie West,Carnoustie West,S12000041,Angus
S02003319,Dingwall,Dingwall,S12000017,Highland
S02003610,Erskine East and Inchinnan,Erskine East and Inchinnan,S12000038,Renfrewshire
S02003707,Stonehouse,Stonehouse,S12000029,South Lanarkshire
S02002573,Stonehaven North,Stonehaven North,S12000034,Aberdeenshire
S02002572,Stonehaven South,Stonehaven South,S12000034,Aberdeenshire
S02002543,"Froghall, Powis and Sunnybank","Froghall, Powis and Sunnybank",S12000033,Aberdeen City
S02003023,Grangemouth - Newlands,Grangemouth - Newlands,S12000014,Falkirk
S02003355,Port Glasgow Upper East,Port Glasgow Upper East,S12000018,Inverclyde
S02002546,Tillydrone,Tillydrone,S12000033,Aberdeen City
S02003816,Mid Calder and Kirknewton,Mid Calder and Kirknewton,S12000040,West Lothian
S02003207,Barlanark,Barlanark,S12000049,Glasgow City
S02002730,Meadowbank and Abbeyhill North,Meadowbank and Abbeyhill North,S12000036,City of Edinburgh
S02002648,Letham and Glamis,Letham and Glamis,S12000041,Angus
S02002550,Mastrick,Mastrick,S12000033,Aberdeen City
S02002961,East Linton and Rural,East Linton and Rural,S12000010,East Lothian
S02002844,Annan East,Annan East,S12000006,Dumfries and Galloway
S02002924,Bishopbriggs West and Cadder,Bishopbriggs West and Cadder,S12000045,East Dunbartonshire
S02002671,Dunoon,Dunoon,S12000035,Argyll and Bute
S02002950,Tranent South,Tranent South,S12000010,East Lothian
S02002519,Garthdee,Garthdee,S12000033,Aberdeen City
S02002816,Kirkcudbright,Kirkcudbright,S12000006,Dumfries and Galloway
S02002532,Ferryhill South,Ferryhill South,S12000033,Aberdeen City
S02003846,"Uphall, Dechmont and Ecclesmachan","Uphall, Dechmont and Ecclesmachan",S12000040,West Lothian
S02003176,Glenwood South,Glenwood South,S12000049,Glasgow City
S02002947,Cockenzie,Cockenzie,S12000010,East Lothian
S02002718,Morningside East,Morningside East,S12000036,City of Edinburgh
S02002871,Downfield,Downfield,S12000042,Dundee City
S02003831,Whitburn Central,Whitburn Central,S12000040,West Lothian
S02002907,"Grange, Howard and Gargieston","Grange, Howard and Gargieston",S12000008,East Ayrshire
S02003071,Cardenden,Cardenden,S12000047,Fife
S02002721,Polwarth,Polwarth,S12000036,City of Edinburgh
S02003457,Wishaw South,Wishaw South,S12000050,North Lanarkshire
S02002748,The Shore and Constitution Street,The Shore and Constitution Street,S12000036,City of Edinburgh
S02002700,Comiston and Swanston,Comiston and Swanston,S12000036,City of Edinburgh
S02003170,Carnwadric West,Carnwadric West,S12000049,Glasgow City
S02002711,The Inch,The Inch,S12000036,City of Edinburgh
S02003585,Johnstone South East,Johnstone South East,S12000038,Renfrewshire
S02003349,Greenock Upper Central,Greenock Upper Central,S12000018,Inverclyde
S02003725,Burnbank Central and Udston,Burnbank Central and Udston,S12000029,South Lanarkshire
S02002798,Alva,Alva,S12000005,Clackmannanshire
S02003030,"Blackness, Bo'ness - Carriden and Grahamsdyke","Blackness, Bo'ness - Carriden and Grahamsdyke",S12000014,Falkirk
S02003295,Inverness Lochardil and Holm Mains,Inverness Lochardil and Holm Mains,S12000017,Highland
S02002737,Joppa,Joppa,S12000036,City of Edinburgh
S02003684,Troon,Troon,S12000028,South Ayrshire
S02003784,Bridge of Allan and University,Bridge of Allan and University,S12000030,Stirling
S02002882,Mauchline Rural,Mauchline Rural,S12000008,East Ayrshire
S02002979,Clarkston and Sheddens,Clarkston and Sheddens,S12000011,East Renfrewshire
S02003646,Hawick - South East,Hawick - South East,S12000026,Scottish Borders
S02003670,"Ayr North Harbour, Wallacetown and Newton South","Ayr North Harbour, Wallacetown and Newton South",S12000028,South Ayrshire
S02002887,Cumnock South and Craigens,Cumnock South and Craigens,S12000008,East Ayrshire
S02003215,Riddrie and Hogganfield,Riddrie and Hogganfield,S12000049,Glasgow City
S02002666,Campbeltown,Campbeltown,S12000035,Argyll and Bute
S02002857,Douglas West,Douglas West,S12000042,Dundee City
S02003172,Newlands,Newlands,S12000049,Glasgow City
S02003154,Mosspark,Mosspark,S12000049,Glasgow City
S02002805,Alloa North,Alloa North,S12000005,Clackmannanshire
S02003168,Langside,Langside,S12000049,Glasgow City
S02003208,Greenfield,Greenfield,S12000049,Glasgow City
S02003339,Inverkip and Wemyss Bay,Inverkip and Wemyss Bay,S12000018,Inverclyde
S02003801,Dumbarton North,Dumbarton North,S12000039,West Dunbartonshire
S02002821,Upper Nithsdale,Upper Nithsdale,S12000006,Dumfries and Galloway
S02003805,Renton,Renton,S12000039,West Dunbartonshire
S02002636,Arbroath Kirkton,Arbroath Kirkton,S12000041,Angus
S02002634,Carnoustie East,Carnoustie East,S12000041,Angus
S02002559,Dyce,Dyce,S12000033,Aberdeen City
S02002786,Corstorphine,Corstorphine,S12000036,City of Edinburgh
S02002523,Hazlehead,Hazlehead,S12000033,Aberdeen City
S02003260,Kelvinside and Jordanhill,Kelvinside and Jordanhill,S12000049,Glasgow City
S02003480,Orbiston,Orbiston,S12000050,North Lanarkshire
S02003345,"Bow Farm, Fancy Farm and Mallard Bowl","Bow Farm, Fancy Farm and Mallard Bowl",S12000018,Inverclyde
S02002744,Restalrig and Lochend,Restalrig and Lochend,S12000036,City of Edinburgh
S02003265,Yoker South,Yoker South,S12000049,Glasgow City
S02002804,Alloa South and East,Alloa South and East,S12000005,Clackmannanshire
S02002817,Castle Douglas,Castle Douglas,S12000006,Dumfries and Galloway
S02003406,South Lewis,South Lewis,S12000013,Na h-Eileanan Siar
S02003284,Badenoch and Strathspey Central,Badenoch and Strathspey Central,S12000017,Highland
S02002875,Menzieshill,Menzieshill,S12000042,Dundee City
S02002515,Culter,Culter,S12000033,Aberdeen City
S02002595,Ellon East,Ellon East,S12000034,Aberdeenshire
S02003232,City Centre West,City Centre West,S12000049,Glasgow City
S02002651,Forfar West,Forfar West,S12000041,Angus
S02002650,Forfar Central,Forfar Central,S12000041,Angus
S02003661,Maybole,Maybole,S12000028,South Ayrshire
S02003668,Holmston and Forehill,Holmston and Forehill,S12000028,South Ayrshire
S02002643,Montrose North,Montrose North,S12000041,Angus
S02003148,Cardonald West and Central,Cardonald West and Central,S12000049,Glasgow City
S02003812,West Calder and Polbeth,West Calder and Polbeth,S12000040,West Lothian
S02003137,Darnley East,Darnley East,S12000049,Glasgow City
S02003186,Laurieston and Tradeston,Laurieston and Tradeston,S12000049,Glasgow City
S02003603,Paisley North,Paisley North,S12000038,Renfrewshire
S02003229,Dennistoun,Dennistoun,S12000049,Glasgow City
S02002615,Cruden,Cruden,S12000034,Aberdeenshire
S02003792,Singer and Clydebank South,Singer and Clydebank South,S12000039,West Dunbartonshire
S02003724,Burnbank North,Burnbank North,S12000029,South Lanarkshire
S02002925,Auchinairn,Auchinairn,S12000045,East Dunbartonshire
S02003234,Anderston,Anderston,S12000049,Glasgow City
S02003555,Letham,Letham,S12000048,Perth and Kinross
S02003752,St Leonards South,St Leonards South,S12000029,South Lanarkshire
S02003165,Maxwell Park,Maxwell Park,S12000049,Glasgow City
S02003767,Blane Valley,Blane Valley,S12000030,Stirling
S02003586,Elderslie and Phoenix,Elderslie and Phoenix,S12000038,Renfrewshire
S02003241,Keppochhill,Keppochhill,S12000049,Glasgow City
S02003169,Pollokshaws,Pollokshaws,S12000049,Glasgow City
S02003100,Glenrothes Pitteuchar,Glenrothes Pitteuchar,S12000047,Fife
S02003300,Inverness Crown and Haugh,Inverness Crown and Haugh,S12000017,Highland
S02003384,"Cullen, Portknockie, Findochty, Drybridge and Berryhillock","Cullen, Portknockie, Findochty, Drybridge and Berryhillock",S12000020,Moray
S02003441,West Kilbride and Seamill,West Kilbride and Seamill,S12000021,North Ayrshire
S02002800,Tillicoultry,Tillicoultry,S12000005,Clackmannanshire
S02003175,Carmunnock North,Carmunnock North,S12000049,Glasgow City
S02002628,South Angus,South Angus,S12000041,Angus
S02002640,Arbroath Warddykes,Arbroath Warddykes,S12000041,Angus
S02003478,Holytown,Holytown,S12000050,North Lanarkshire
S02003473,Motherwell South,Motherwell South,S12000050,North Lanarkshire
S02003744,Burnside and Springhall,Burnside and Springhall,S12000029,South Lanarkshire
S02002598,Ythsie,Ythsie,S12000034,Aberdeenshire
S02002605,Turriff,Turriff,S12000034,Aberdeenshire
S02002778,Muirhouse,Muirhouse,S12000036,City of Edinburgh
S02002885,Cumnock Rural,Cumnock Rural,S12000008,East Ayrshire
S02002570,Mearns North and Inverbervie,Mearns North and Inverbervie,S12000034,Aberdeenshire
S02002554,Heathryfold and Middlefield,Heathryfold and Middlefield,S12000033,Aberdeen City
S02002905,"Altonhill South, Longpark and Hillhead","Altonhill South, Longpark and Hillhead",S12000008,East Ayrshire
S02002903,Southcraig and Beansburn,Southcraig and Beansburn,S12000008,East Ayrshire
S02003251,Wyndford,Wyndford,S12000049,Glasgow City
S02003562,Scone,Scone,S12000048,Perth and Kinross
S02003085,Kirkcaldy Templehall East,Kirkcaldy Templehall East,S12000047,Fife
S02003008,Falkirk - Town Centre and Callendar Park,Falkirk - Town Centre and Callendar Park,S12000014,Falkirk
S02003496,Greenend and Carnbroe,Greenend and Carnbroe,S12000050,North Lanarkshire
S02002895,Galston,Galston,S12000008,East Ayrshire
S02002757,Trinity West and Wardie,Trinity West and Wardie,S12000036,City of Edinburgh
S02003214,Craigend and Ruchazie,Craigend and Ruchazie,S12000049,Glasgow City
S02002768,Balgreen and Roseburn,Balgreen and Roseburn,S12000036,City of Edinburgh
S02003376,Mayfield,Mayfield,S12000019,Midlothian
S02003354,"Port Glasgow Mid, East and Central","Port Glasgow Mid, East and Central",S12000018,Inverclyde
S02003162,Govanhill East and Aikenhead,Govanhill East and Aikenhead,S12000049,Glasgow City
S02003809,Kilmaronock,Kilmaronock,S12000039,West Dunbartonshire
S02003751,St Leonards North,St Leonards North,S12000029,South Lanarkshire
S02003039,Dunfermline Headwell,Dunfermline Headwell,S12000047,Fife
S02003149,Penilee,Penilee,S12000049,Glasgow City
S02003097,Glenrothes Caskieberran and Rimbleton,Glenrothes Caskieberran and Rimbleton,S12000047,Fife
S02003090,Kirkcaldy Gallatown and Sinclairtown,Kirkcaldy Gallatown and Sinclairtown,S12000047,Fife
S02002856,Craigie and Craigiebank,Craigie and Craigiebank,S12000042,Dundee City
S02002582,Howe of Alford,Howe of Alford,S12000034,Aberdeenshire
S02003825,Livingston Knightsridge and Eliburn North,Livingston Knightsridge and Eliburn North,S12000040,West Lothian
S02002992,Bonnybridge,Bonnybridge,S12000014,Falkirk
S02003815,Livingston Dedridge East,Livingston Dedridge East,S12000040,West Lothian
S02003259,Dowanhill,Dowanhill,S12000049,Glasgow City
S02002789,South Gyle and Edinburgh Park,South Gyle and Edinburgh Park,S12000036,City of Edinburgh
S02003618,Bridge of Weir,Bridge of Weir,S12000038,Renfrewshire
S02003620,Peebles North,Peebles North,S12000026,Scottish Borders
S02003519,Condorrat,Condorrat,S12000050,North Lanarkshire
S02002745,Leith (Hermitage and Prospect Bank),Leith (Hermitage and Prospect Bank),S12000036,City of Edinburgh
S02003582,Johnstone South West,Johnstone South West,S12000038,Renfrewshire
S02002923,Bishopbriggs North and Kenmure,Bishopbriggs North and Kenmure,S12000045,East Dunbartonshire
S02002696,Morningside West and Craighouse,Morningside West and Craighouse,S12000036,City of Edinburgh
S02003268,Knightswood East,Knightswood East,S12000049,Glasgow City
S02003591,Paisley South West,Paisley South West,S12000038,Renfrewshire
S02002672,Garelochhead,Garelochhead,S12000035,Argyll and Bute
S02003279,Lochaber West,Lochaber West,S12000017,Highland
S02003749,Calderwood Central,Calderwood Central,S12000029,South Lanarkshire
S02003282,Lochaber East and North,Lochaber East and North,S12000017,Highland
S02003333,Caithness North West,Caithness North West,S12000017,Highland
S02002774,Boswall and Pilton,Boswall and Pilton,S12000036,City of Edinburgh
S02002803,Sauchie,Sauchie,S12000005,Clackmannanshire
S02003735,Whitlawburn and Greenlees,Whitlawburn and Greenlees,S12000029,South Lanarkshire
S02003257,Partick,Partick,S12000049,Glasgow City
S02003730,Uddingston and Kylepark,Uddingston and Kylepark,S12000029,South Lanarkshire
S02003174,Muirend and Old Cathcart,Muirend and Old Cathcart,S12000049,Glasgow City
S02002862,Barnhill,Barnhill,S12000042,Dundee City
S02003078,Kirkcaldy Linktown and Seafield,Kirkcaldy Linktown and Seafield,S12000047,Fife
S02003301,Inverness Ballifeary and Dalneigh,Inverness Ballifeary and Dalneigh,S12000017,Highland
S02002983,Merrylee and Braidbar,Merrylee and Braidbar,S12000011,East Renfrewshire
S02002928,Lenzie North,Lenzie North,S12000045,East Dunbartonshire
S02003285,Badenoch and Strathspey North,Badenoch and Strathspey North,S12000017,Highland
S02003228,Carntyne West and Haghill,Carntyne West and Haghill,S12000049,Glasgow City
S02002932,Hillhead,Hillhead,S12000045,East Dunbartonshire
S02003187,Calton and Gallowgate,Calton and Gallowgate,S12000049,Glasgow City
S02002850,City Centre,City Centre,S12000042,Dundee City
S02003223,Springburn East and Cowlairs,Springburn East and Cowlairs,S12000049,Glasgow City
S02002957,Haddington South,Haddington South,S12000010,East Lothian
S02003308,Loch Ness,Loch Ness,S12000017,Highland
S02002770,"Craigleith, Orchard Brae and Crewe Toll","Craigleith, Orchard Brae and Crewe Toll",S12000036,City of Edinburgh
S02002772,Drylaw,Drylaw,S12000036,City of Edinburgh
S02003447,Kilbirnie South and Longbar,Kilbirnie South and Longbar,S12000021,North Ayrshire
S02003806,Bonhill,Bonhill,S12000039,West Dunbartonshire
S02002567,Aboyne and South Deeside,Aboyne and South Deeside,S12000034,Aberdeenshire
S02003799,Old Kilpatrick,Old Kilpatrick,S12000039,West Dunbartonshire
S02003479,Milnwood,Milnwood,S12000050,North Lanarkshire
S02003481,Bellshill South,Bellshill South,S12000050,North Lanarkshire
S02002588,Kintore,Kintore,S12000034,Aberdeenshire
S02003484,Fallside,Fallside,S12000050,North Lanarkshire
S02003485,Viewpark,Viewpark,S12000050,North Lanarkshire
S02003716,"Woodhead, Meikle Earnock and Fairhill","Woodhead, Meikle Earnock and Fairhill",S12000029,South Lanarkshire
S02003705,Hareleeshill,Hareleeshill,S12000029,South Lanarkshire
S02003699,"Douglas, Coalburn and Rigside","Douglas, Coalburn and Rigside",S12000029,South Lanarkshire
S02003522,Cumbernauld Central,Cumbernauld Central,S12000050,North Lanarkshire
S02003687,"Carstairs, Carstairs Junction and Carnwath","Carstairs, Carstairs Junction and Carnwath",S12000029,South Lanarkshire
S02002632,Monifieth East,Monifieth East,S12000041,Angus
S02002639,Arbroath Cliffburn,Arbroath Cliffburn,S12000041,Angus
S02003541,Kinross,Kinross,S12000048,Perth and Kinross
S02003550,Bridge of Earn and Abernethy,Bridge of Earn and Abernethy,S12000048,Perth and Kinross
