IZ22CD,IZ22NM,IZ22NM,CA,CAName
S02002719,Merchiston and Greenhill,Merchiston and Greenhill,S12000036,City of Edinburgh
S02002716,Marchmont East and Sciennes,Marchmont East and Sciennes,S12000036,City of Edinburgh
S02003556,Tulloch and Inveralmond,Tulloch and Inveralmond,S12000048,Perth and Kinross
S02003611,Erskine Central,Erskine Central,S12000038,Renfrewshire
S02003810,Fauldhouse,Fauldhouse,S12000040,West Lothian
S02002695,Craiglockhart,Craiglockhart,S12000036,City of Edinburgh
S02003402,"Forres South West, Pilmuir and Mannachie","Forres South West, Pilmuir and Mannachie",S12000020,Moray
S02002520,"Braeside, Mannofield, Broomhill and Seafield East","Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City
S02003431,Saltcoats North East,Saltcoats North East,S12000021,North Ayrshire
S02003844,"Winchburgh, Bridgend and Philpstoun","Winchburgh, Bridgend and Philpstoun",S12000040,West Lothian
S02003426,Saltcoats Central,Saltcoats Central,S12000021,North Ayrshire
S02002538,Torry East,Torry East,S12000033,Aberdeen City
S02003399,"Burghead, Roseisle and Laich","Burghead, Roseisle and Laich",S12000020,Moray
S02003365,Poltonhall,Poltonhall,S12000019,Midlothian
S02002558,Bucksburn North,Bucksburn North,S12000033,Aberdeen City
S02003834,Armadale South,Armadale South,S12000040,West Lothian
S02003702,"Ashgill, Netherburn, Quarter and Glassford","Ashgill, Netherburn, Quarter and Glassford",S12000029,South Lanarkshire
S02002749,Great Junction Street,Great Junction Street,S12000036,City of Edinburgh
S02003508,Caldercruix and Plains,Caldercruix and Plains,S12000050,North Lanarkshire
S02002826,Summerville,Summerville,S12000006,Dumfries and Galloway
S02003644,Denholm Upper Teviotdale and Liddesdale,Denholm Upper Teviotdale and Liddesdale,S12000026,Scottish Borders
S02002945,Prestonpans West,Prestonpans West,S12000010,East Lothian
S02003492,Townhead,Townhead,S12000050,North Lanarkshire
S02003614,Linwood South,Linwood South,S12000038,Renfrewshire
S02003346,"Gourock East, Greenock West and Lyle Road","Gourock East, Greenock West and Lyle Road",S12000018,Inverclyde
S02003342,Gourock Central and Upper East ,Gourock Central and Upper East ,S12000018,Inverclyde
S02002940,Musselburgh South,Musselburgh South,S12000010,East Lothian
S02002838,Lockerbie,Lockerbie,S12000006,Dumfries and Galloway
S02003221,Petershill,Petershill,S12000049,Glasgow City
S02002668,Rothesay Town,Rothesay Town,S12000035,Argyll and Bute
S02002685,The Calders,The Calders,S12000036,City of Edinburgh
S02003708,Strathaven South,Strathaven South,S12000029,South Lanarkshire
S02002897,Shortlees,Shortlees,S12000008,East Ayrshire
S02003383,Keith and Fife Keith,Keith and Fife Keith,S12000020,Moray
S02002540,Hanover North,Hanover North,S12000033,Aberdeen City
S02002868,Linlathen and Midcraigie,Linlathen and Midcraigie,S12000042,Dundee City
S02003811,"Stoneyburn, Addiewell and Breich","Stoneyburn, Addiewell and Breich",S12000040,West Lothian
S02003147,Cardonald North,Cardonald North,S12000049,Glasgow City
S02003434,Kilwinning Whitehirst Park and Woodside,Kilwinning Whitehirst Park and Woodside,S12000021,North Ayrshire
S02002876,Charleston,Charleston,S12000042,Dundee City
S02002784,East Craigs South,East Craigs South,S12000036,City of Edinburgh
S02003288,Nairn West,Nairn West,S12000017,Highland
S02003797,Duntocher,Duntocher,S12000039,West Dunbartonshire
S02003794,Kilbowie,Kilbowie,S12000039,West Dunbartonshire
S02003025,Grangemouth - Kersiebank,Grangemouth - Kersiebank,S12000014,Falkirk
S02003721,Blantyre South and Wheatlands,Blantyre South and Wheatlands,S12000029,South Lanarkshire
S02003386,"Buckie West, Buckpool and Mains of Buckie","Buckie West, Buckpool and Mains of Buckie",S12000020,Moray
S02003216,Blackhill and Barmulloch East,Blackhill and Barmulloch East,S12000049,Glasgow City
S02003732,"Halfway, Hallside and Drumsagard","Halfway, Hallside and Drumsagard",S12000029,South Lanarkshire
S02002673,Helensburgh West and Rhu,Helensburgh West and Rhu,S12000035,Argyll and Bute
S02002529,City Centre West,City Centre West,S12000033,Aberdeen City
S02002976,Eaglesham and Waterfoot,Eaglesham and Waterfoot,S12000011,East Renfrewshire
S02003745,Fernhill and Cathkin,Fernhill and Cathkin,S12000029,South Lanarkshire
S02003016,Braes Villages,Braes Villages,S12000014,Falkirk
S02003763,Westwood South,Westwood South,S12000029,South Lanarkshire
S02003673,"Lochside, Braehead and Whitletts","Lochside, Braehead and Whitletts",S12000028,South Ayrshire
S02003136,Newport and Wormit,Newport and Wormit,S12000047,Fife
S02002525,Midstocket,Midstocket,S12000033,Aberdeen City
S02003680,"Dundonald, Loans and Symington","Dundonald, Loans and Symington",S12000028,South Ayrshire
S02002943,Musselburgh East,Musselburgh East,S12000010,East Lothian
S02003144,Pollok South and West,Pollok South and West,S12000049,Glasgow City
S02002693,Gorgie East,Gorgie East,S12000036,City of Edinburgh
S02002522,"Braeside, Mannofield, Broomhill and Seafield North","Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City
S02003601,Paisley Ralston,Paisley Ralston,S12000038,Renfrewshire
S02003572,"Bankfoot, Stanley and Murthly","Bankfoot, Stanley and Murthly",S12000048,Perth and Kinross
S02003503,Cairnhill,Cairnhill,S12000050,North Lanarkshire
S02002890,Northern and Irvine Valley Rural ,Northern and Irvine Valley Rural ,S12000008,East Ayrshire
S02003341,Gourock Upper and West Central ,Gourock Upper and West Central ,S12000018,Inverclyde
S02002788,Corstorphine South,Corstorphine South,S12000036,City of Edinburgh
S02003587,Paisley Ferguslie,Paisley Ferguslie,S12000038,Renfrewshire
S02003261,Broomhill,Broomhill,S12000049,Glasgow City
S02002822,Thornhill,Thornhill,S12000006,Dumfries and Galloway
S02003523,Kildrum,Kildrum,S12000050,North Lanarkshire
S02003287,Nairn East,Nairn East,S12000017,Highland
S02003302,Inverness Muirtown,Inverness Muirtown,S12000017,Highland
S02002898,Bellfield and Kirkstyle,Bellfield and Kirkstyle,S12000008,East Ayrshire
S02003271,Anniesland East,Anniesland East,S12000049,Glasgow City
S02003159,Pollokshields West,Pollokshields West,S12000049,Glasgow City
S02002888,Cumnock North,Cumnock North,S12000008,East Ayrshire
S02003800,"Garshake, Milton and Bowling","Garshake, Milton and Bowling",S12000039,West Dunbartonshire
S02002577,"Dunecht, Durris and Drumoak","Dunecht, Durris and Drumoak",S12000034,Aberdeenshire
S02003791,Whitecrook,Whitecrook,S12000039,West Dunbartonshire
S02003786,Dunblane East,Dunblane East,S12000030,Stirling
S02002982,Netherlee,Netherlee,S12000011,East Renfrewshire
S02002698,Colinton Mains and Firrhill,Colinton Mains and Firrhill,S12000036,City of Edinburgh
S02003289,Inverness East Rural,Inverness East Rural,S12000017,Highland
S02002793,Queensferry East,Queensferry East,S12000036,City of Edinburgh
S02003472,Carfin and Cleekhimin,Carfin and Cleekhimin,S12000050,North Lanarkshire
S02003463,Shotts,Shotts,S12000050,North Lanarkshire
S02003486,Birkenshaw,Birkenshaw,S12000050,North Lanarkshire
S02003455,Craigneuk Wishaw,Craigneuk Wishaw,S12000050,North Lanarkshire
S02003299,"Inverness Central, Raigmore and Longman","Inverness Central, Raigmore and Longman",S12000017,Highland
S02003127,Anstruther,Anstruther,S12000047,Fife
S02003003,Falkirk - Bainsford and Langlees,Falkirk - Bainsford and Langlees,S12000014,Falkirk
S02003109,Methil Methilhill,Methil Methilhill,S12000047,Fife
S02002544,Seaton,Seaton,S12000033,Aberdeen City
S02003829,Blackburn Central,Blackburn Central,S12000040,West Lothian
S02003407,Northwest Lewis,Northwest Lewis,S12000013,Na h-Eileanan Siar
S02003380,"Aberlour, South Speyside and the Cabrach","Aberlour, South Speyside and the Cabrach",S12000020,Moray
S02003369,Eskbank and Newbattle,Eskbank and Newbattle,S12000019,Midlothian
S02003845,Broxburn Kirkhill,Broxburn Kirkhill,S12000040,West Lothian
S02003027,Bo'ness - Kinneil,Bo'ness - Kinneil,S12000014,Falkirk
S02003734,Vicarland and Cairns,Vicarland and Cairns,S12000029,South Lanarkshire
S02002840,Langholm and Eskdale,Langholm and Eskdale,S12000006,Dumfries and Galloway
S02002760,Broughton South,Broughton South,S12000036,City of Edinburgh
S02003182,Mount Florida,Mount Florida,S12000049,Glasgow City
S02002937,Lennoxtown,Lennoxtown,S12000045,East Dunbartonshire
S02003548,Almondbank and Pitcairngreen,Almondbank and Pitcairngreen,S12000048,Perth and Kinross
S02003547,Crieff South,Crieff South,S12000048,Perth and Kinross
S02003720,High Blantyre,High Blantyre,S12000029,South Lanarkshire
S02003544,Auchterarder,Auchterarder,S12000048,Perth and Kinross
S02003539,Isles,Isles,S12000023,Orkney Islands
S02002655,"Mull, Iona, Coll and Tiree","Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute
S02002738,Portobello,Portobello,S12000036,City of Edinburgh
S02002904,Altonhill North and Onthank,Altonhill North and Onthank,S12000008,East Ayrshire
S02003576,Rannoch and Aberfeldy,Rannoch and Aberfeldy,S12000048,Perth and Kinross
S02003230,Gallowgate North and Bellgrove,Gallowgate North and Bellgrove,S12000049,Glasgow City
S02003328,Sutherland East,Sutherland East,S12000017,Highland
S02002759,Broughton North and Powderhall,Broughton North and Powderhall,S12000036,City of Edinburgh
S02003714,"Hamilton Centre, Low Parks and Ferniegar","Hamilton Centre, Low Parks and Ferniegar",S12000029,South Lanarkshire
S02003226,Dennistoun North,Dennistoun North,S12000049,Glasgow City
S02003493,Sunnyside and Cliftonville,Sunnyside and Cliftonville,S12000050,North Lanarkshire
S02003072,Lochgelly East,Lochgelly East,S12000047,Fife
S02003326,Tain,Tain,S12000017,Highland
S02003222,Springburn,Springburn,S12000049,Glasgow City
S02003588,Paisley North West,Paisley North West,S12000038,Renfrewshire
S02003391,"Elgin Central East, Kingsmills, Ashgrove and Pinefield","Elgin Central East, Kingsmills, Ashgrove and Pinefield",S12000020,Moray
S02003061,Dalgety Bay Central,Dalgety Bay Central,S12000047,Fife
S02003094,Leslie and Newcastle,Leslie and Newcastle,S12000047,Fife
S02003324,Invergordon,Invergordon,S12000017,Highland
S02003087,Kirkcaldy Chapel,Kirkcaldy Chapel,S12000047,Fife
S02003613,Bishopton,Bishopton,S12000038,Renfrewshire
S02003247,Summerston Central and West,Summerston Central and West,S12000049,Glasgow City
S02003325,Seaboard,Seaboard,S12000017,Highland
S02003245,Milton West,Milton West,S12000049,Glasgow City
S02003615,Linwood North,Linwood North,S12000038,Renfrewshire
S02003827,Livingston Carmondean,Livingston Carmondean,S12000040,West Lothian
S02003117,Kettle and Ladybank,Kettle and Ladybank,S12000047,Fife
S02003280,Fort William North,Fort William North,S12000017,Highland
S02003719,Hillhouse,Hillhouse,S12000029,South Lanarkshire
S02003166,Shawlands West,Shawlands West,S12000049,Glasgow City
S02003765,The Murray,The Murray,S12000029,South Lanarkshire
S02003026,Grangemouth - Bowhouse,Grangemouth - Bowhouse,S12000014,Falkirk
S02003715,Laighstonehall,Laighstonehall,S12000029,South Lanarkshire
S02003474,Ladywell,Ladywell,S12000050,North Lanarkshire
S02003158,Kingston West and Dumbreck,Kingston West and Dumbreck,S12000049,Glasgow City
S02003188,Bridgeton,Bridgeton,S12000049,Glasgow City
S02003676,Prestwick West,Prestwick West,S12000028,South Ayrshire
S02003537,West Kirkwall,West Kirkwall,S12000023,Orkney Islands
S02003210,Tollcross,Tollcross,S12000049,Glasgow City
S02003634,Berwickshire East,Berwickshire East,S12000026,Scottish Borders
S02003436,Kilwinning West and Blacklands,Kilwinning West and Blacklands,S12000021,North Ayrshire
S02003119,Auchtermuchty and Gateside,Auchtermuchty and Gateside,S12000047,Fife
S02003597,Paisley East,Paisley East,S12000038,Renfrewshire
S02003177,Glenwood North,Glenwood North,S12000049,Glasgow City
S02002963,Dunbar East,Dunbar East,S12000010,East Lothian
S02002818,Dalbeattie,Dalbeattie,S12000006,Dumfries and Galloway
S02002783,East Craigs North,East Craigs North,S12000036,City of Edinburgh
S02002547,Woodside,Woodside,S12000033,Aberdeen City
S02002795,Tullibody South,Tullibody South,S12000005,Clackmannanshire
S02002599,Barrahill,Barrahill,S12000034,Aberdeenshire
S02002612,Deer and Mormond,Deer and Mormond,S12000034,Aberdeenshire
S02002955,Humbie Gifford Garvald,Humbie Gifford Garvald,S12000010,East Lothian
S02002608,Banff,Banff,S12000034,Aberdeenshire
S02002616,Peterhead Links,Peterhead Links,S12000034,Aberdeenshire
S02002594,Balmedie and Potterton,Balmedie and Potterton,S12000034,Aberdeenshire
S02002533,"Kincorth, Leggart and Nigg North","Kincorth, Leggart and Nigg North",S12000033,Aberdeen City
S02002773,West Pilton,West Pilton,S12000036,City of Edinburgh
S02002603,Huntly,Huntly,S12000034,Aberdeenshire
S02002946,Prestonpans East,Prestonpans East,S12000010,East Lothian
S02002682,Bonaly and The Pentlands,Bonaly and The Pentlands,S12000036,City of Edinburgh
S02002906,Bonnyton and Town Centre,Bonnyton and Town Centre,S12000008,East Ayrshire
S02002734,Niddrie,Niddrie,S12000036,City of Edinburgh
S02002701,Fairmilehead,Fairmilehead,S12000036,City of Edinburgh
S02002676,Helensburgh East,Helensburgh East,S12000035,Argyll and Bute
S02003019,Maddiston and Rumford,Maddiston and Rumford,S12000014,Falkirk
S02002989,Denny - Nethermains,Denny - Nethermains,S12000014,Falkirk
S02003442,Largs South,Largs South,S12000021,North Ayrshire
S02003525,Abronhill North,Abronhill North,S12000050,North Lanarkshire
S02003179,Kingspark South,Kingspark South,S12000049,Glasgow City
S02003643,Jedburgh,Jedburgh,S12000026,Scottish Borders
S02003180,Kingspark North,Kingspark North,S12000049,Glasgow City
S02002972,"Mearns Village, Westacres and Greenfarm","Mearns Village, Westacres and Greenfarm",S12000011,East Renfrewshire
S02003814,Livingston Murieston,Livingston Murieston,S12000040,West Lothian
S02002575,Portlethen,Portlethen,S12000034,Aberdeenshire
S02002874,Balgay,Balgay,S12000042,Dundee City
S02003437,Kilwinning Central and North,Kilwinning Central and North,S12000021,North Ayrshire
S02003604,Renfrew West,Renfrew West,S12000038,Renfrewshire
S02003160,Pollokshields East,Pollokshields East,S12000049,Glasgow City
S02003091,Dysart,Dysart,S12000047,Fife
S02003093,Thornton and Kinglassie,Thornton and Kinglassie,S12000047,Fife
S02002674,Helensburgh North,Helensburgh North,S12000035,Argyll and Bute
S02002802,"Clackmannan, Kennet and Forestmill","Clackmannan, Kennet and Forestmill",S12000005,Clackmannanshire
S02003095,Glenrothes Macedonia and Tanshall,Glenrothes Macedonia and Tanshall,S12000047,Fife
S02002881,Doon Valley North,Doon Valley North,S12000008,East Ayrshire
S02003568,"Blair Atholl, Strathardle and Glenshee","Blair Atholl, Strathardle and Glenshee",S12000048,Perth and Kinross
S02002931,Kirkintilloch West,Kirkintilloch West,S12000045,East Dunbartonshire
S02003701,Kirkmuirhill and Blackwood,Kirkmuirhill and Blackwood,S12000029,South Lanarkshire
S02003248,Summerston North,Summerston North,S12000049,Glasgow City
S02002524,Summerhill,Summerhill,S12000033,Aberdeen City
S02002913,Keystone and Dougalston,Keystone and Dougalston,S12000045,East Dunbartonshire
S02003036,Crossford Charlestown and Limekilns,Crossford Charlestown and Limekilns,S12000047,Fife
S02002619,Peterhead Ugieside,Peterhead Ugieside,S12000034,Aberdeenshire
S02002596,Ellon West,Ellon West,S12000034,Aberdeenshire
S02003130,St Andrews Central,St Andrews Central,S12000047,Fife
S02002751,Easter Road and Hawkhill Avenue,Easter Road and Hawkhill Avenue,S12000036,City of Edinburgh
S02003750,Calderwood West,Calderwood West,S12000029,South Lanarkshire
S02003507,Drumgelloch,Drumgelloch,S12000050,North Lanarkshire
S02003198,Baillieston West,Baillieston West,S12000049,Glasgow City
S02003509,Glenmavis and Greengairs,Glenmavis and Greengairs,S12000050,North Lanarkshire
S02002649,Forfar East,Forfar East,S12000041,Angus
S02002891,Stewarton East,Stewarton East,S12000008,East Ayrshire
S02003106,Markinch and Star,Markinch and Star,S12000047,Fife
S02002958,Gullane and Drem,Gullane and Drem,S12000010,East Lothian
S02003135,Tayport,Tayport,S12000047,Fife
S02002686,Murrayburn and Wester Hailes North,Murrayburn and Wester Hailes North,S12000036,City of Edinburgh
S02003123,Cupar East,Cupar East,S12000047,Fife
S02002839,Moffat,Moffat,S12000006,Dumfries and Galloway
S02003583,Johnstone North West,Johnstone North West,S12000038,Renfrewshire
S02003592,Paisley Glenburn West,Paisley Glenburn West,S12000038,Renfrewshire
S02002690,Longstone,Longstone,S12000036,City of Edinburgh
S02003263,Scotstoun North and East,Scotstoun North and East,S12000049,Glasgow City
S02003727,Whitehill,Whitehill,S12000029,South Lanarkshire
S02002846,Gretna,Gretna,S12000006,Dumfries and Galloway
S02003276,Drumchapel North,Drumchapel North,S12000049,Glasgow City
S02002637,Arbroath Keptie,Arbroath Keptie,S12000041,Angus
S02003704,"Larkhall Central, Raploch, Millheugh and Burnhead","Larkhall Central, Raploch, Millheugh and Burnhead",S12000029,South Lanarkshire
S02002948,Tranent East,Tranent East,S12000010,East Lothian
S02003212,Carntyne,Carntyne,S12000049,Glasgow City
S02003211,Old Shettleston and Parkhead North,Old Shettleston and Parkhead North,S12000049,Glasgow City
S02003717,Torheads and Little Earnock,Torheads and Little Earnock,S12000029,South Lanarkshire
S02003201,Garrowhill West,Garrowhill West,S12000049,Glasgow City
S02002889,Auchinleck,Auchinleck,S12000008,East Ayrshire
S02003624,Gala Water Valley and Earlston Area,Gala Water Valley and Earlston Area,S12000026,Scottish Borders
S02002962,Dunbar West,Dunbar West,S12000010,East Lothian
S02002969,Auchenback and Barrhead Dams,Auchenback and Barrhead Dams,S12000011,East Renfrewshire
S02003005,Falkirk - Grahamston,Falkirk - Grahamston,S12000014,Falkirk
S02003636,Chirnside and Area,Chirnside and Area,S12000026,Scottish Borders
S02003167,Shawlands East,Shawlands East,S12000049,Glasgow City
S02003632,Berwickshire West,Berwickshire West,S12000026,Scottish Borders
S02003311,Skye North East,Skye North East,S12000017,Highland
S02003004,Falkirk - Merchiston and New Carron Village,Falkirk - Merchiston and New Carron Village,S12000014,Falkirk
S02003683,Barassie,Barassie,S12000028,South Ayrshire
S02003377,Newtongrange,Newtongrange,S12000019,Midlothian
S02003778,King's Park and Torbrex,King's Park and Torbrex,S12000030,Stirling
S02002717,Marchmont West,Marchmont West,S12000036,City of Edinburgh
S02003787,Dunblane West,Dunblane West,S12000030,Stirling
S02003788,Carse of Stirling,Carse of Stirling,S12000030,Stirling
S02003553,"Burghmuir, Oakbank and Cherrybank","Burghmuir, Oakbank and Cherrybank",S12000048,Perth and Kinross
S02003551,Upper Craigie and Friarton,Upper Craigie and Friarton,S12000048,Perth and Kinross
S02003419,Irvine Perceton and Lawthorn,Irvine Perceton and Lawthorn,S12000021,North Ayrshire
S02002735,"Bingham, Magdalene and The Christians","Bingham, Magdalene and The Christians",S12000036,City of Edinburgh
S02003429,Ardrossan North East,Ardrossan North East,S12000021,North Ayrshire
S02003433,Stevenston Hayocks,Stevenston Hayocks,S12000021,North Ayrshire
S02002796,Tullibody North and Glenochil,Tullibody North and Glenochil,S12000005,Clackmannanshire
S02002562,Oldmachar East,Oldmachar East,S12000033,Aberdeen City
S02002741,Northfield and Piershill,Northfield and Piershill,S12000036,City of Edinburgh
S02003512,Cardowan and Millerston,Cardowan and Millerston,S12000050,North Lanarkshire
S02002542,Ashgrove,Ashgrove,S12000033,Aberdeen City
S02002779,Silverknowes and Davidson's Mains,Silverknowes and Davidson's Mains,S12000036,City of Edinburgh
S02002776,Granton and Royston Mains,Granton and Royston Mains,S12000036,City of Edinburgh
S02002534,"Kincorth, Leggart and Nigg South","Kincorth, Leggart and Nigg South",S12000033,Aberdeen City
S02003837,Bathgate Boghall,Bathgate Boghall,S12000040,West Lothian
S02002766,Wester Coates,Wester Coates,S12000036,City of Edinburgh
S02003842,Linlithgow High Street and Linlithgow Bridge ,Linlithgow High Street and Linlithgow Bridge ,S12000040,West Lothian
S02002762,New Town West,New Town West,S12000036,City of Edinburgh
S02002714,Newington and Dalkeith Road,Newington and Dalkeith Road,S12000036,City of Edinburgh
S02003079,Kirkcaldy Central,Kirkcaldy Central,S12000047,Fife
S02002591,Westhill Central,Westhill Central,S12000034,Aberdeenshire
S02003768,Balfron and Drymen,Balfron and Drymen,S12000030,Stirling
S02003777,Borestone,Borestone,S12000030,Stirling
S02003401,Forres Central East,Forres Central East,S12000020,Moray
S02002820,Glenkens,Glenkens,S12000006,Dumfries and Galloway
S02002609,Macduff,Macduff,S12000034,Aberdeenshire
S02003514,Chryston and Muirhead,Chryston and Muirhead,S12000050,North Lanarkshire
S02003020,Polmont,Polmont,S12000014,Falkirk
S02003193,Braidfauld,Braidfauld,S12000049,Glasgow City
S02003283,Badenoch and Strathspey South,Badenoch and Strathspey South,S12000017,Highland
S02003348,"Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar","Gateside, Pennyfern, Cowdenknowes, Overton and upper Drumfrochar",S12000018,Inverclyde
S02002743,Restalrig (Loganlea) and Craigentinny West,Restalrig (Loganlea) and Craigentinny West,S12000036,City of Edinburgh
S02003066,Cowdenbeath North,Cowdenbeath North,S12000047,Fife
S02003129,St Andrews South East,St Andrews South East,S12000047,Fife
S02003452,Muirhouse,Muirhouse,S12000050,North Lanarkshire
S02003648,Hawick - North,Hawick - North,S12000026,Scottish Borders
S02003286,Nairn Rural,Nairn Rural,S12000017,Highland
S02003692,Carluke East,Carluke East,S12000029,South Lanarkshire
S02003824,Livingston Ladywell,Livingston Ladywell,S12000040,West Lothian
S02003807,Alexandria,Alexandria,S12000039,West Dunbartonshire
S02002647,Brechin West,Brechin West,S12000041,Angus
S02003766,"Birniehill, Kelvin and Whitehills East","Birniehill, Kelvin and Whitehills East",S12000029,South Lanarkshire
S02003718,Earnock,Earnock,S12000029,South Lanarkshire
S02002893,Darvel,Darvel,S12000008,East Ayrshire
S02003048,Dunfermline Abbeyview North,Dunfermline Abbeyview North,S12000047,Fife
S02002752,Leith (Albert Street),Leith (Albert Street),S12000036,City of Edinburgh
S02003483,Bellshill Central,Bellshill Central,S12000050,North Lanarkshire
S02002646,Brechin East,Brechin East,S12000041,Angus
S02002765,Comely Bank,Comely Bank,S12000036,City of Edinburgh
S02002917,South Castlehill and Thorn,South Castlehill and Thorn,S12000045,East Dunbartonshire
S02003491,Coatbridge West,Coatbridge West,S12000050,North Lanarkshire
S02002968,"West Arthurlie, Gateside and Springhill","West Arthurlie, Gateside and Springhill",S12000011,East Renfrewshire
S02002561,Oldmachar West,Oldmachar West,S12000033,Aberdeen City
S02002723,Fountainbridge,Fountainbridge,S12000036,City of Edinburgh
S02003131,St Andrews South West,St Andrews South West,S12000047,Fife
S02002832,Dumfries Central,Dumfries Central,S12000006,Dumfries and Galloway
S02003146,Cardonald South and East,Cardonald South and East,S12000049,Glasgow City
S02003336,Sutherland North and West,Sutherland North and West,S12000017,Highland
S02003357,Penicuik Southeast,Penicuik Southeast,S12000019,Midlothian
S02003358,Penicuik Southwest,Penicuik Southwest,S12000019,Midlothian
S02003738,Farme Cross and Gallowflat North,Farme Cross and Gallowflat North,S12000029,South Lanarkshire
S02003153,Craigton,Craigton,S12000049,Glasgow City
S02002852,Hilltown,Hilltown,S12000042,Dundee City
S02002602,Clashindarroch,Clashindarroch,S12000034,Aberdeenshire
S02003393,New Elgin West,New Elgin West,S12000020,Moray
S02003364,Loanhead,Loanhead,S12000019,Midlothian
S02003535,West Mainland,West Mainland,S12000023,Orkney Islands
S02003760,Crosshouse and Lindsayfield Central,Crosshouse and Lindsayfield Central,S12000029,South Lanarkshire
S02002884,Mauchline,Mauchline,S12000008,East Ayrshire
S02002769,Murrayfield and Ravelston,Murrayfield and Ravelston,S12000036,City of Edinburgh
S02003584,Johnstone North East,Johnstone North East,S12000038,Renfrewshire
S02003642,St Boswells Newtown and Area,St Boswells Newtown and Area,S12000026,Scottish Borders
S02003456,Pather,Pather,S12000050,North Lanarkshire
S02003674,Newton North,Newton North,S12000028,South Ayrshire
S02002707,Fernieside and Moredun South,Fernieside and Moredun South,S12000036,City of Edinburgh
