IZ22CD,IZ22NM,IZ22NM,CA,CAName
S02002763,Canonmills and New Town North,Canonmills and New Town North,S12000036,City of Edinburgh
S02003330,Wick South,Wick South,S12000017,Highland
S02002706,Hyvots and Gilmerton,Hyvots and Gilmerton,S12000036,City of Edinburgh
S02002754,Pilrig,Pilrig,S12000036,City of Edinburgh
S02003444,Largs North,Largs North,S12000021,North Ayrshire
S02003246,Milton East,Milton East,S12000049,Glasgow City
S02003242,Ruchill,Ruchill,S12000049,Glasgow City
S02002758,"Inverleith, Goldenacre and Warriston","Inverleith, Goldenacre and Warriston",S12000036,City of Edinburgh
S02003297,Inverness Hilton,Inverness Hilton,S12000017,Highland
S02003565,"Invergowrie, Longforgan and Abernyte","Invergowrie, Longforgan and Abernyte",S12000048,Perth and Kinross
S02002697,Greenbank and The Braids,Greenbank and The Braids,S12000036,City of Edinburgh
S02003621,Peebles South,Peebles South,S12000026,Scottish Borders
S02003515,Moodiesburn West,Moodiesburn West,S12000050,North Lanarkshire
S02003395,"Elgin Bishopmill East, Ladyhill and High Street","Elgin Bishopmill East, Ladyhill and High Street",S12000020,Moray
S02002654,Angus Glens,Angus Glens,S12000041,Angus
S02003625,Galashiels North,Galashiels North,S12000026,Scottish Borders
S02003549,"Glenfarg, Dunning and Rhynd","Glenfarg, Dunning and Rhynd",S12000048,Perth and Kinross
S02003397,Lossiemouth East and Seatown,Lossiemouth East and Seatown,S12000020,Moray
S02002662,Greater Lochgilphead,Greater Lochgilphead,S12000035,Argyll and Bute
S02003571,Blairgowrie Central,Blairgowrie Central,S12000048,Perth and Kinross
S02003647,Hawick - South,Hawick - South,S12000026,Scottish Borders
S02002664,Whisky Isles,Whisky Isles,S12000035,Argyll and Bute
S02002899,Kilmarnock South Central and Caprington,Kilmarnock South Central and Caprington,S12000008,East Ayrshire
S02002902,Dean and New Farm Loch North,Dean and New Farm Loch North,S12000008,East Ayrshire
S02002827,Troqueer,Troqueer,S12000006,Dumfries and Galloway
S02002681,Baberton and Juniper Green,Baberton and Juniper Green,S12000036,City of Edinburgh
S02003449,Beith East and Rural,Beith East and Rural,S12000021,North Ayrshire
S02003024,Grangemouth - Town Centre,Grangemouth - Town Centre,S12000014,Falkirk
S02002563,Balgownie and Donmouth West,Balgownie and Donmouth West,S12000033,Aberdeen City
S02003089,Kirkcaldy Pathhead,Kirkcaldy Pathhead,S12000047,Fife
S02003195,Shettleston South,Shettleston South,S12000049,Glasgow City
S02002985,Giffnock North and Thornliebank North,Giffnock North and Thornliebank North,S12000011,East Renfrewshire
S02003075,Burntisland West,Burntisland West,S12000047,Fife
S02002988,"Fankerton, Stoneywood and Denny Town","Fankerton, Stoneywood and Denny Town",S12000014,Falkirk
S02003150,Hillington,Hillington,S12000049,Glasgow City
S02002956,Haddington North,Haddington North,S12000010,East Lothian
S02002536,Cove North,Cove North,S12000033,Aberdeen City
S02003740,Burnhill and Bankhead North,Burnhill and Bankhead North,S12000029,South Lanarkshire
S02003141,South Nitshill,South Nitshill,S12000049,Glasgow City
S02003038,Dunfermline Baldridgeburn,Dunfermline Baldridgeburn,S12000047,Fife
S02003739,Shawfield and Clincarthill,Shawfield and Clincarthill,S12000029,South Lanarkshire
S02003726,Burnbank South and Chantinghall,Burnbank South and Chantinghall,S12000029,South Lanarkshire
S02003009,Falkirk - Bantaskin,Falkirk - Bantaskin,S12000014,Falkirk
S02003764,Westwood East,Westwood East,S12000029,South Lanarkshire
S02003780,City Centre,City Centre,S12000030,Stirling
S02002861,Broughty Ferry East,Broughty Ferry East,S12000042,Dundee City
S02003387,"Mosstodloch, Portgordon, Urquhart and seaward","Mosstodloch, Portgordon, Urquhart and seaward",S12000020,Moray
S02002986,Thornliebank South and Woodfarm,Thornliebank South and Woodfarm,S12000011,East Renfrewshire
S02003018,Brightons and Wallacestone,Brightons and Wallacestone,S12000014,Falkirk
S02003563,"Guildtown, Balbeggie and St Madoes","Guildtown, Balbeggie and St Madoes",S12000048,Perth and Kinross
S02003068,Kelty East and Landward,Kelty East and Landward,S12000047,Fife
S02002978,Busby,Busby,S12000011,East Renfrewshire
S02003306,Inverness West Rural,Inverness West Rural,S12000017,Highland
S02002815,Gatehouse,Gatehouse,S12000006,Dumfries and Galloway
S02002713,Prestonfield,Prestonfield,S12000036,City of Edinburgh
S02003303,Inverness Merkinch,Inverness Merkinch,S12000017,Highland
S02003459,Coltness,Coltness,S12000050,North Lanarkshire
S02002974,Kirkhill South and Broom South,Kirkhill South and Broom South,S12000011,East Renfrewshire
S02003296,Inverness Drummond,Inverness Drummond,S12000017,Highland
S02002872,Fairmuir,Fairmuir,S12000042,Dundee City
S02002607,Aberchirder and Whitehills,Aberchirder and Whitehills,S12000034,Aberdeenshire
S02003728,Bothwell South,Bothwell South,S12000029,South Lanarkshire
S02003322,Black Isle North,Black Isle North,S12000017,Highland
S02003122,Cupar Central,Cupar Central,S12000047,Fife
S02003157,Kinning Park and Festival Park,Kinning Park and Festival Park,S12000049,Glasgow City
S02003371,Woodburn,Woodburn,S12000019,Midlothian
S02003088,Kirkcaldy Hayfield and Smeaton,Kirkcaldy Hayfield and Smeaton,S12000047,Fife
S02002597,Ythanside,Ythanside,S12000034,Aberdeenshire
S02003554,Western Edge,Western Edge,S12000048,Perth and Kinross
S02003545,"Comrie, Gilmerton and St Fillans","Comrie, Gilmerton and St Fillans",S12000048,Perth and Kinross
S02003748,Calderwood East,Calderwood East,S12000029,South Lanarkshire
S02003790,Highland,Highland,S12000030,Stirling
S02003139,Darnley West,Darnley West,S12000049,Glasgow City
S02003427,Ardrossan Central,Ardrossan Central,S12000021,North Ayrshire
S02003344,Larkfield ,Larkfield ,S12000018,Inverclyde
S02002578,Banchory East,Banchory East,S12000034,Aberdeenshire
S02003761,Whitehills West,Whitehills West,S12000029,South Lanarkshire
S02002557,Bucksburn South,Bucksburn South,S12000033,Aberdeen City
S02003334,Thurso East,Thurso East,S12000017,Highland
S02003574,Amulree and Dunkeld,Amulree and Dunkeld,S12000048,Perth and Kinross
S02002675,Helensburgh Centre,Helensburgh Centre,S12000035,Argyll and Bute
S02002708,Moredun and Craigour,Moredun and Craigour,S12000036,City of Edinburgh
S02003527,Carrickstone,Carrickstone,S12000050,North Lanarkshire
S02002843,Annan West,Annan West,S12000006,Dumfries and Galloway
S02002927,Woodhill West,Woodhill West,S12000045,East Dunbartonshire
S02003034,Valleyfield Culross and Torryburn,Valleyfield Culross and Torryburn,S12000047,Fife
S02002935,Harestanes,Harestanes,S12000045,East Dunbartonshire
S02002894,Newmilns,Newmilns,S12000008,East Ayrshire
S02002936,Milton of Campsie,Milton of Campsie,S12000045,East Dunbartonshire
S02003202,Garrowhill East and Swinton,Garrowhill East and Swinton,S12000049,Glasgow City
S02003059,Inverkeithing East,Inverkeithing East,S12000047,Fife
S02003253,North Kelvin,North Kelvin,S12000049,Glasgow City
S02002900,Piersland,Piersland,S12000008,East Ayrshire
S02003199,Baillieston East,Baillieston East,S12000049,Glasgow City
S02003475,Motherwell West,Motherwell West,S12000050,North Lanarkshire
S02003698,Hazelbank and Kirkfieldbank,Hazelbank and Kirkfieldbank,S12000029,South Lanarkshire
S02003197,Mount Vernon North and Sandyhills,Mount Vernon North and Sandyhills,S12000049,Glasgow City
S02003056,Rosyth Central,Rosyth Central,S12000047,Fife
S02003840,"Blackridge, Westfield and Torphichen","Blackridge, Westfield and Torphichen",S12000040,West Lothian
S02003190,Parkhead West and Barrowfield,Parkhead West and Barrowfield,S12000049,Glasgow City
S02002539,Hanover South,Hanover South,S12000033,Aberdeen City
S02003192,Parkhead East and Braidfauld North,Parkhead East and Braidfauld North,S12000049,Glasgow City
S02002527,West End North,West End North,S12000033,Aberdeen City
S02003501,Petersburn,Petersburn,S12000050,North Lanarkshire
S02003697,Lanark South,Lanark South,S12000029,South Lanarkshire
S02003817,East Calder West,East Calder West,S12000040,West Lothian
S02003126,St Monans and Pittenweem,St Monans and Pittenweem,S12000047,Fife
S02002580,Crathes and Torphins,Crathes and Torphins,S12000034,Aberdeenshire
S02003593,Paisley Glenburn East,Paisley Glenburn East,S12000038,Renfrewshire
S02002581,Cromar and Kildrummy,Cromar and Kildrummy,S12000034,Aberdeenshire
S02003418,Irvine Girdle Toll and Staneca,Irvine Girdle Toll and Staneca,S12000021,North Ayrshire
S02003675,Heathfield,Heathfield,S12000028,South Ayrshire
S02003134,Balmullo and Gauldry,Balmullo and Gauldry,S12000047,Fife
S02003423,Irvine Central,Irvine Central,S12000021,North Ayrshire
S02003249,Maryhill East,Maryhill East,S12000049,Glasgow City
S02003290,Inverness Culloden and Balloch,Inverness Culloden and Balloch,S12000017,Highland
S02003789,Callander and Trossachs,Callander and Trossachs,S12000030,Stirling
S02003022,Laurieston and Westquarter,Laurieston and Westquarter,S12000014,Falkirk
S02003557,North Muirton,North Muirton,S12000048,Perth and Kinross
S02003111,Methil East,Methil East,S12000047,Fife
S02002756,Trinity East and The Dudleys,Trinity East and The Dudleys,S12000036,City of Edinburgh
S02003385,Buckie Central East,Buckie Central East,S12000020,Moray
S02003112,Leven East,Leven East,S12000047,Fife
S02003239,Woodside,Woodside,S12000049,Glasgow City
S02003575,Pitlochry,Pitlochry,S12000048,Perth and Kinross
S02003409,Stornoway West,Stornoway West,S12000013,Na h-Eileanan Siar
S02003379,Gorebridge and Birkenside,Gorebridge and Birkenside,S12000019,Midlothian
S02002593,Newmachar and Fintray,Newmachar and Fintray,S12000034,Aberdeenshire
S02002624,Fraserburgh Smiddyhill,Fraserburgh Smiddyhill,S12000034,Aberdeenshire
S02003756,Stewartfield West,Stewartfield West,S12000029,South Lanarkshire
S02002521,"Braeside, Mannofield, Broomhill and Seafield South","Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City
S02003700,Lesmahagow,Lesmahagow,S12000029,South Lanarkshire
S02002644,Hillside,Hillside,S12000041,Angus
S02003770,Cambusbarron,Cambusbarron,S12000030,Stirling
S02002781,"Barnton, Cammo and Cramond South","Barnton, Cammo and Cramond South",S12000036,City of Edinburgh
S02003663,Coylton,Coylton,S12000028,South Ayrshire
S02003278,Drumry West,Drumry West,S12000049,Glasgow City
S02003524,Abronhill South,Abronhill South,S12000050,North Lanarkshire
S02003521,Seafar,Seafar,S12000050,North Lanarkshire
S02002552,Cummings Park,Cummings Park,S12000033,Aberdeen City
S02002867,Claverhouse and North Ballumbie,Claverhouse and North Ballumbie,S12000042,Dundee City
S02003736,Cambuslang Central,Cambuslang Central,S12000029,South Lanarkshire
S02003270,Knightswood Park East,Knightswood Park East,S12000049,Glasgow City
S02003269,Knightswood Park West,Knightswood Park West,S12000049,Glasgow City
S02002601,"Insch, Oyne and Ythanwells","Insch, Oyne and Ythanwells",S12000034,Aberdeenshire
S02002870,Kirkton,Kirkton,S12000042,Dundee City
S02003802,Dumbarton Central,Dumbarton Central,S12000039,West Dunbartonshire
S02003277,Drumry East,Drumry East,S12000049,Glasgow City
S02002569,Mearns South and Benholm,Mearns South and Benholm,S12000034,Aberdeenshire
S02003530,Klisyth East,Klisyth East,S12000050,North Lanarkshire
S02003533,Balmalloch,Balmalloch,S12000050,North Lanarkshire
S02003080,Kirkcaldy Bennochy East,Kirkcaldy Bennochy East,S12000047,Fife
S02003293,Inverness Inshes,Inverness Inshes,S12000017,Highland
S02003465,Harthill and Salsburgh,Harthill and Salsburgh,S12000050,North Lanarkshire
S02002560,Danestone,Danestone,S12000033,Aberdeen City
S02002794,Queensferry West,Queensferry West,S12000036,City of Edinburgh
S02002777,Granton West and Salvesen,Granton West and Salvesen,S12000036,City of Edinburgh
S02003706,Strutherhill and Birkenshaw,Strutherhill and Birkenshaw,S12000029,South Lanarkshire
S02003058,North Queensferry and Inverkeithing West,North Queensferry and Inverkeithing West,S12000047,Fife
S02002901,New Farm Loch South,New Farm Loch South,S12000008,East Ayrshire
S02003029,Bo'ness - town centre,Bo'ness - town centre,S12000014,Falkirk
S02003404,Barra and South Uist,Barra and South Uist,S12000013,Na h-Eileanan Siar
S02003470,Carfin North,Carfin North,S12000050,North Lanarkshire
S02003405,Benbecula and North Uist,Benbecula and North Uist,S12000013,Na h-Eileanan Siar
S02003065,Cowdenbeath South,Cowdenbeath South,S12000047,Fife
S02003561,Gannochy and Walnut Grove,Gannochy and Walnut Grove,S12000048,Perth and Kinross
S02003520,Greenfaulds,Greenfaulds,S12000050,North Lanarkshire
S02003795,Clydebank North,Clydebank North,S12000039,West Dunbartonshire
S02003454,Flemington,Flemington,S12000050,North Lanarkshire
S02003098,Glenrothes Auchmuty,Glenrothes Auchmuty,S12000047,Fife
S02003450,Overtown,Overtown,S12000050,North Lanarkshire
S02003526,Village and Castlecary,Village and Castlecary,S12000050,North Lanarkshire
S02002535,Cove South,Cove South,S12000033,Aberdeen City
S02002746,Western Harbour and Leith Docks,Western Harbour and Leith Docks,S12000036,City of Edinburgh
S02003037,Dunfermline Milesmark and Wellwood,Dunfermline Milesmark and Wellwood,S12000047,Fife
S02003040,Dunfermline Central,Dunfermline Central,S12000047,Fife
S02002583,Kemnay,Kemnay,S12000034,Aberdeenshire
S02003421,Irvine Castlepark South,Irvine Castlepark South,S12000021,North Ayrshire
S02003422,Irvine East,Irvine East,S12000021,North Ayrshire
S02003424,Irvine Fullarton,Irvine Fullarton,S12000021,North Ayrshire
S02002806,Alloa West,Alloa West,S12000005,Clackmannanshire
S02002775,Granton South and Wardieburn,Granton South and Wardieburn,S12000036,City of Edinburgh
S02002576,Banchory-Devenick and Findon,Banchory-Devenick and Findon,S12000034,Aberdeenshire
S02003430,Saltcoats North West,Saltcoats North West,S12000021,North Ayrshire
S02002755,Bonnington,Bonnington,S12000036,City of Edinburgh
S02002833,Nunholm,Nunholm,S12000006,Dumfries and Galloway
S02002960,North Berwick South,North Berwick South,S12000010,East Lothian
S02003206,North Barlanark and Easterhouse South,North Barlanark and Easterhouse South,S12000049,Glasgow City
S02003142,Crookston South,Crookston South,S12000049,Glasgow City
S02002683,Colinton and Kingsknowe,Colinton and Kingsknowe,S12000036,City of Edinburgh
S02003723,Blantyre North and Coatshill,Blantyre North and Coatshill,S12000029,South Lanarkshire
S02002998,Stenhousemuir East,Stenhousemuir East,S12000014,Falkirk
S02002886,New Cumnock,New Cumnock,S12000008,East Ayrshire
S02002996,Larbert - South Broomage and Village,Larbert - South Broomage and Village,S12000014,Falkirk
S02002679,Currie West,Currie West,S12000036,City of Edinburgh
S02003183,Toryglen and Oatlands,Toryglen and Oatlands,S12000049,Glasgow City
S02002645,Friockheim,Friockheim,S12000041,Angus
S02002841,Annandale East,Annandale East,S12000006,Dumfries and Galloway
S02002966,Cross Stobbs,Cross Stobbs,S12000011,East Renfrewshire
S02003638,Cheviot East,Cheviot East,S12000026,Scottish Borders
S02003332,Caithness North East,Caithness North East,S12000017,Highland
S02002991,"Banknock, Haggs and Longcroft","Banknock, Haggs and Longcroft",S12000014,Falkirk
S02003321,Black Isle Fortrose and Avoch,Black Isle Fortrose and Avoch,S12000017,Highland
S02003312,Skye North West,Skye North West,S12000017,Highland
S02003626,Galashiels West,Galashiels West,S12000026,Scottish Borders
S02002908,"Crosshouse, Gatehead and Kilmaurs Rural","Crosshouse, Gatehead and Kilmaurs Rural",S12000008,East Ayrshire
S02003627,Galashiels South,Galashiels South,S12000026,Scottish Borders
S02002911,East Clober and Mains Estate,East Clober and Mains Estate,S12000045,East Dunbartonshire
S02002916,North Castlehill and Thorn,North Castlehill and Thorn,S12000045,East Dunbartonshire
S02003394,Elgin Central West,Elgin Central West,S12000020,Moray
S02003238,Kelvinbridge South,Kelvinbridge South,S12000049,Glasgow City
S02003392,New Elgin East and The Wards,New Elgin East and The Wards,S12000020,Moray
S02003688,"Forth, Braehead and Auchengray","Forth, Braehead and Auchengray",S12000029,South Lanarkshire
S02003372,Dalkeith,Dalkeith,S12000019,Midlothian
S02003370,"Danderhall, Shawfair and Midlothian North","Danderhall, Shawfair and Midlothian North",S12000019,Midlothian
S02003121,Cupar West and Springfield,Cupar West and Springfield,S12000047,Fife
S02003224,Cowlairs and Port Dundas,Cowlairs and Port Dundas,S12000049,Glasgow City
S02002919,Westerton East,Westerton East,S12000045,East Dunbartonshire
S02003362,Roslin and Bilston,Roslin and Bilston,S12000019,Midlothian
S02003021,Redding,Redding,S12000014,Falkirk
S02003664,Doonfoot and Seafield,Doonfoot and Seafield,S12000028,South Ayrshire
S02003499,Chapelhall East,Chapelhall East,S12000050,North Lanarkshire
S02003233,City Centre South,City Centre South,S12000049,Glasgow City
S02002981,Stamperland,Stamperland,S12000011,East Renfrewshire
S02003310,Skye South,Skye South,S12000017,Highland
S02003635,Eyemouth,Eyemouth,S12000026,Scottish Borders
S02003689,Law,Law,S12000029,South Lanarkshire
S02003304,Inverness Scorguie,Inverness Scorguie,S12000017,Highland
S02002606,"Portsoy, Fordyce and Cornhill","Portsoy, Fordyce and Cornhill",S12000034,Aberdeenshire
S02003219,Balornock,Balornock,S12000049,Glasgow City
S02002915,Kilmardinny West,Kilmardinny West,S12000045,East Dunbartonshire
S02003313,Ross and Cromarty South West,Ross and Cromarty South West,S12000017,Highland
S02003173,Merrylee and Millbrae,Merrylee and Millbrae,S12000049,Glasgow City
S02003847,Broxburn South,Broxburn South,S12000040,West Lothian
S02002761,New Town East and Gayfield,New Town East and Gayfield,S12000036,City of Edinburgh
S02003218,Robroyston South,Robroyston South,S12000049,Glasgow City
S02003205,"Garthamlock, Auchinlea and Gartloch","Garthamlock, Auchinlea and Gartloch",S12000049,Glasgow City
S02002959,North Berwick North,North Berwick North,S12000010,East Lothian
S02003774,Bannockburn,Bannockburn,S12000030,Stirling
S02003318,Conon,Conon,S12000017,Highland
S02003594,Paisley South,Paisley South,S12000038,Renfrewshire
S02003743,High Crosshill,High Crosshill,S12000029,South Lanarkshire
S02003775,Hillpark,Hillpark,S12000030,Stirling
S02002810,Stranraer South,Stranraer South,S12000006,Dumfries and Galloway
S02003107,Windygates and Coaltown,Windygates and Coaltown,S12000047,Fife
S02003754,West Mains,West Mains,S12000029,South Lanarkshire
S02003013,Falkirk - Lochgreen and Lionthorn,Falkirk - Lochgreen and Lionthorn,S12000014,Falkirk
S02003753,East Mains,East Mains,S12000029,South Lanarkshire
S02002688,Broomhouse and Bankhead,Broomhouse and Bankhead,S12000036,City of Edinburgh
S02003543,"Muthill, Greenloaning and Gleneagles","Muthill, Greenloaning and Gleneagles",S12000048,Perth and Kinross
S02002999,Stenhousemuir - Antonshill,Stenhousemuir - Antonshill,S12000014,Falkirk
S02003420,Irvine Castlepark North,Irvine Castlepark North,S12000021,North Ayrshire
S02003073,Lochgelly West and Lumphinnans,Lochgelly West and Lumphinnans,S12000047,Fife
S02002687,Parkhead and Sighthill,Parkhead and Sighthill,S12000036,City of Edinburgh
S02003351,Greenock Upper East ,Greenock Upper East ,S12000018,Inverclyde
S02003542,Milnathort and Crook of Devon,Milnathort and Crook of Devon,S12000048,Perth and Kinross
S02002828,New Abbey,New Abbey,S12000006,Dumfries and Galloway
S02003155,Ibrox,Ibrox,S12000049,Glasgow City
S02002736,"Jewel, Brunstane and Newcraighall","Jewel, Brunstane and Newcraighall",S12000036,City of Edinburgh
S02002801,Dollar and Muckhart,Dollar and Muckhart,S12000005,Clackmannanshire
S02002739,Duddingston and Durhams,Duddingston and Durhams,S12000036,City of Edinburgh
S02002677,Lomond Shore,Lomond Shore,S12000035,Argyll and Bute
S02003446,Kilbirnie North,Kilbirnie North,S12000021,North Ayrshire
S02003398,Lossiemouth West,Lossiemouth West,S12000020,Moray
S02003741,Bankhead South,Bankhead South,S12000029,South Lanarkshire
S02003608,Renfrew North West,Renfrew North West,S12000038,Renfrewshire
S02002665,Kintyre Trail,Kintyre Trail,S12000035,Argyll and Bute
S02003659,Girvan Glendoune,Girvan Glendoune,S12000028,South Ayrshire
S02003769,"Kippen, Fintry and Gargunnock","Kippen, Fintry and Gargunnock",S12000030,Stirling
S02003502,Gartlea,Gartlea,S12000050,North Lanarkshire
S02002566,East Cairngorms,East Cairngorms,S12000034,Aberdeenshire
S02003564,Errol and Inchture,Errol and Inchture,S12000048,Perth and Kinross
S02003581,Kilbarchan,Kilbarchan,S12000038,Renfrewshire
S02003693,Carluke South,Carluke South,S12000029,South Lanarkshire
S02002629,Monikie and Wellbank,Monikie and Wellbank,S12000041,Angus
S02003546,Crieff North,Crieff North,S12000048,Perth and Kinross
S02003703,Merryton and Meadowhill,Merryton and Meadowhill,S12000029,South Lanarkshire
S02003516,Moodiesburn East,Moodiesburn East,S12000050,North Lanarkshire
S02003639,Kelso North,Kelso North,S12000026,Scottish Borders
S02003534,"Stromness, Sandwick and Stenness","Stromness, Sandwick and Stenness",S12000023,Orkney Islands
S02002600,Fyvie-Rothie,Fyvie-Rothie,S12000034,Aberdeenshire
S02003630,Melrose Darnick Gattonside and Newstead,Melrose Darnick Gattonside and Newstead,S12000026,Scottish Borders
S02003848,Broxburn East,Broxburn East,S12000040,West Lothian
S02002964,Neilston East,Neilston East,S12000011,East Renfrewshire
S02003084,Kirkcaldy Templehall West,Kirkcaldy Templehall West,S12000047,Fife
S02003113,Leven West,Leven West,S12000047,Fife
S02003171,Carnwadric East,Carnwadric East,S12000049,Glasgow City
S02003428,Ardrossan North West,Ardrossan North West,S12000021,North Ayrshire
S02003415,Dreghorn,Dreghorn,S12000021,North Ayrshire
S02003317,Muir of Ord,Muir of Ord,S12000017,Highland
S02002987,Dunipace,Dunipace,S12000014,Falkirk
S02003451,Netherton and Kirkhill,Netherton and Kirkhill,S12000050,North Lanarkshire
S02003052,Dunfermline Pitcorthie East,Dunfermline Pitcorthie East,S12000047,Fife
S02003083,Kirkcaldy Newliston and Redcraigs,Kirkcaldy Newliston and Redcraigs,S12000047,Fife
S02002930,Kirkintilloch South,Kirkintilloch South,S12000045,East Dunbartonshire
S02002809,Stranraer East,Stranraer East,S12000006,Dumfries and Galloway
S02003047,Dunfermline Touch and Woodmill,Dunfermline Touch and Woodmill,S12000047,Fife
S02003086,Kirkcaldy Dunnikier,Kirkcaldy Dunnikier,S12000047,Fife
S02003092,Wemyss,Wemyss,S12000047,Fife
S02003360,Penicuik North,Penicuik North,S12000019,Midlothian
S02003010,Falkirk - Camelon East,Falkirk - Camelon East,S12000014,Falkirk
S02003156,Ibrox East and Cessnock,Ibrox East and Cessnock,S12000049,Glasgow City
S02003189,Dalmarnock,Dalmarnock,S12000049,Glasgow City
S02003236,Yorkhill,Yorkhill,S12000049,Glasgow City
S02003014,Hallglen and Glen Village,Hallglen and Glen Village,S12000014,Falkirk
S02002661,Mid Argyll,Mid Argyll,S12000035,Argyll and Bute
S02003077,Kinghorn,Kinghorn,S12000047,Fife
S02002725,Southside,Southside,S12000036,City of Edinburgh
S02002579,Banchory West,Banchory West,S12000034,Aberdeenshire
S02003781,Raploch,Raploch,S12000030,Stirling
S02003331,Wick North,Wick North,S12000017,Highland
S02003315,Ross and Cromarty Central,Ross and Cromarty Central,S12000017,Highland
S02003335,Thurso West,Thurso West,S12000017,Highland
S02003729,Bothwell North,Bothwell North,S12000029,South Lanarkshire
S02003143,Crookston North,Crookston North,S12000049,Glasgow City
S02002610,Gardenstown and King Edward,Gardenstown and King Edward,S12000034,Aberdeenshire
S02003055,Rosyth East,Rosyth East,S12000047,Fife
S02002667,Bute,Bute,S12000035,Argyll and Bute
S02003435,Kilwinning Pennyburn,Kilwinning Pennyburn,S12000021,North Ayrshire
S02002785,Corstorphine North,Corstorphine North,S12000036,City of Edinburgh
S02002938,Wallyford,Wallyford,S12000010,East Lothian
S02003681,Muirhead,Muirhead,S12000028,South Ayrshire
S02002920,Kessington West,Kessington West,S12000045,East Dunbartonshire
S02002627,Fraserburgh Harbour and Broadsea,Fraserburgh Harbour and Broadsea,S12000034,Aberdeenshire
S02002517,"Cults, Bieldside and Milltimber East","Cults, Bieldside and Milltimber East",S12000033,Aberdeen City
S02003843,Linlithgow Springfield,Linlithgow Springfield,S12000040,West Lothian
S02003041,Dunfermline Brucefield,Dunfermline Brucefield,S12000047,Fife
S02003464,Stane,Stane,S12000050,North Lanarkshire
S02002530,City Centre East,City Centre East,S12000033,Aberdeen City
